,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
0,892420643555336193,38071,8327,Tue Aug 01 16:23:56 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/MgUWQ76dJU
1,892177421306343426,32681,6151,Tue Aug 01 00:17:27 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/aQFSeaCu9L
2,891815181378084864,24589,4069,Mon Jul 31 00:18:03 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/r0YlrsGCgy
3,891689557279858688,41429,8463,Sun Jul 30 15:58:51 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/tD36da7qLQ
4,891327558926688256,39599,9166,Sat Jul 29 16:00:24 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/0g0KMIVXZ3
5,891087950875897856,19883,3047,Sat Jul 29 00:08:17 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/xx5cilW0Dd
6,890971913173991426,11624,2021,Fri Jul 28 16:27:12 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/MV01Q820LT
7,890729181411237888,64233,18473,Fri Jul 28 00:22:40 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/hrcFOGi12V
8,890609185150312448,27322,4189,Thu Jul 27 16:25:51 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/UkrdQyoYxV
9,890240255349198849,31350,7220,Wed Jul 26 15:59:51 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/l3TSS3o2M0
10,890006608113172480,30127,7180,Wed Jul 26 00:31:25 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/jy2alqaYPH
11,889880896479866881,27312,4873,Tue Jul 25 16:11:53 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/u1XPQMl29g
12,889665388333682689,47257,9844,Tue Jul 25 01:55:32 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/BxvuXk0UCm
13,889638837579907072,26678,4445,Tue Jul 25 00:10:02 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/f8dEDcrKSR
14,889531135344209921,14845,2202,Mon Jul 24 17:02:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/Ya3bdfYuCx
15,889278841981685760,24799,5263,Mon Jul 24 00:19:32 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/qw5xRwBaIv
16,888917238123831296,28613,4403,Sun Jul 23 00:22:39 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/chxruIOUJN
17,888804989199671297,25115,4203,Sat Jul 22 16:56:37 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/L5cCoR2huQ
18,888554962724278272,19484,3477,Sat Jul 22 00:23:06 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/YnYAFCTTiK
19,888078434458587136,21378,3420,Thu Jul 20 16:49:33 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/UibDBnVpvR
20,887705289381826560,29654,5278,Wed Jul 19 16:06:48 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/m7BR4JgDrZ
21,887517139158093824,45468,11441,Wed Jul 19 03:39:09 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/20VrLAA8ba
22,887473957103951883,67840,17798,Wed Jul 19 00:47:34 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/cLyzpcUcMX
23,887343217045368832,33103,10188,Tue Jul 18 16:08:03 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/WZqNqygEyV
24,887101392804085760,30041,5842,Tue Jul 18 00:07:08 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/UgW2xbO7Rg
25,886983233522544640,34549,7616,Mon Jul 17 16:17:36 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/I6oNy0CgiT
26,886736880519319552,11847,3215,Sun Jul 16 23:58:41 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/RipKYZ0T1u
27,886680336477933568,22043,4372,Sun Jul 16 20:14:00 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/BCoWue0abA
28,886366144734445568,20818,3137,Sat Jul 15 23:25:31 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/iIu3AF8IWH
29,886267009285017600,116,4,Sat Jul 15 16:51:35 +0000 2017,Twitter for iPhone,Original tweet,n
30,886258384151887873,27501,6163,Sat Jul 15 16:17:19 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/xZDA9Qsq1O
31,886054160059072513,0,105,Sat Jul 15 02:45:48 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
32,885984800019947520,32073,6647,Fri Jul 14 22:10:11 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/lWeeGBBXmE
33,885528943205470208,35357,6304,Thu Jul 13 15:58:47 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/tp1kQ8i9JF
34,885518971528720385,20082,3685,Thu Jul 13 15:19:09 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/gzLHboL7Sk
35,885311592912609280,0,18186,Thu Jul 13 01:35:06 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
36,885167619883638784,21543,4294,Wed Jul 12 16:03:00 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/JMU4y341NB
37,884925521741709313,76048,17890,Wed Jul 12 00:01:00 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/MYJvdlNRVa
38,884876753390489601,27441,5501,Tue Jul 11 20:47:12 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/DbNzLkDIxh
39,884562892145688576,23871,4600,Tue Jul 11 00:00:02 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/1r4MFCbCX5
40,884441805382717440,26515,5546,Mon Jul 10 15:58:53 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/JkL9KmUt8X
41,884247878851493888,71765,20090,Mon Jul 10 03:08:17 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/uF3pQ8Wubj
42,884162670584377345,19999,2928,Sun Jul 09 21:29:42 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/KcQj5mNR4m
43,883838122936631299,21526,3381,Sun Jul 09 00:00:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/zrf7IQnlHI
44,883482846933004288,45124,9744,Sat Jul 08 00:28:19 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/qjrljjt948
45,883360690899218434,22287,3635,Fri Jul 07 16:22:55 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/vAdjP5ANuJ
46,883117836046086144,36534,6541,Fri Jul 07 00:17:54 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/Se5fZ9wp5E
47,882992080364220416,23537,3849,Thu Jul 06 15:58:11 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/tyER0KpdXj
48,882762694511734784,27817,4824,Thu Jul 06 00:46:41 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/D43I96SlVu
49,882627270321602560,27448,5974,Wed Jul 05 15:48:34 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/KoU1kxPBcn
50,882268110199369728,44177,11372,Tue Jul 04 16:01:23 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/fYP5RlutfA
51,882045870035918850,28861,4874,Tue Jul 04 01:18:17 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/cj0lK9TLUv
52,881906580714921986,23900,3330,Mon Jul 03 16:04:48 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/503CgWbhxQ
53,881666595344535552,49736,10468,Mon Jul 03 00:11:11 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/7CSWCl8I6s
54,881633300179243008,124,7,Sun Jul 02 21:58:53 +0000 2017,Twitter for iPhone,Original tweet,s
55,881536004380872706,48574,15647,Sun Jul 02 15:32:16 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/w1FVZz0JFM
56,881268444196462592,22701,5082,Sat Jul 01 21:49:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/J4Q5YjzLH0
57,880935762899988482,16731,2735,Fri Jun 30 23:47:07 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/D0wb1GlKAt
58,880872448815771648,20909,3746,Fri Jun 30 19:35:32 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/1nxJLhk0Sd
59,880465832366813184,28054,6159,Thu Jun 29 16:39:47 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/4VsFysDmiw
60,880221127280381952,26601,4140,Thu Jun 29 00:27:25 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/fUod0tVmvK
61,880095782870896641,27161,4275,Wed Jun 28 16:09:20 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/yxYE3cWcCP
62,879862464715927552,21944,3439,Wed Jun 28 00:42:13 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/Qh5aEkRQm9
63,879674319642796034,305,10,Tue Jun 27 12:14:36 +0000 2017,Twitter for iPhone,Original tweet,d
64,879492040517615616,23029,3126,Tue Jun 27 00:10:17 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/IxM9IMKQq8
65,879415818425184262,104110,43433,Mon Jun 26 19:07:24 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/UDT7ZkcTgY
66,879376492567855104,16496,3063,Mon Jun 26 16:31:08 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/RqUrIisQta
67,879130579576475649,0,6710,Mon Jun 26 00:13:58 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
68,879050749262655488,22175,4634,Sun Jun 25 18:56:45 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/ffTAMZt2n7
69,879008229531029506,18665,2649,Sun Jun 25 16:07:47 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/YDtpCjIPKN
70,878776093423087618,19089,4056,Sun Jun 25 00:45:22 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/0Uxl9Gq7hN
71,878604707211726852,29746,7079,Sat Jun 24 13:24:20 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/9uABQXgjwa
72,878404777348136964,0,1268,Sat Jun 24 00:09:53 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
73,878316110768087041,0,6538,Fri Jun 23 18:17:33 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
74,878281511006478336,7620,1268,Fri Jun 23 16:00:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/5HuiInQveF
75,878057613040115712,41359,6710,Fri Jun 23 01:10:23 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/cwtWnHMVpe
76,877736472329191424,78416,18764,Thu Jun 22 03:54:17 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/lsPyyAiF1r
77,877611172832227328,0,79,Wed Jun 21 19:36:23 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
78,877556246731214848,22366,3746,Wed Jun 21 15:58:08 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/rc53DmRHwK
79,877316821321428993,26941,5093,Wed Jun 21 00:06:44 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/tVXlmh3uX3
80,877201837425926144,26699,5494,Tue Jun 20 16:29:50 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/kVwm88J6Yr
81,876838120628539392,20357,3286,Mon Jun 19 16:24:33 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/zuDk9mBEMO
82,876537666061221889,23145,4566,Sun Jun 18 20:30:39 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/ghfhFSYrMm
83,876484053909872640,18463,2364,Sun Jun 18 16:57:37 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/ccBFQU5UWO
84,876120275196170240,27487,4618,Sat Jun 17 16:52:05 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/9NqZV4WwyX
85,875747767867523072,24813,4224,Fri Jun 16 16:11:53 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/XRwtpQiJ15
86,875144289856114688,21593,4855,Thu Jun 15 00:13:52 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/wK0pt8Cnck
87,875097192612077568,27012,5971,Wed Jun 14 21:06:43 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/PFp4MghzBW
88,875021211251597312,25089,4655,Wed Jun 14 16:04:48 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/brCQoqc8AW
89,874680097055178752,27396,4578,Tue Jun 13 17:29:20 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/lZhtizkURD
90,874434818259525634,0,14531,Tue Jun 13 01:14:41 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
91,874296783580663808,25682,4052,Mon Jun 12 16:06:11 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/0YplNnSMEm
92,874057562936811520,22324,3909,Mon Jun 12 00:15:36 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/0MXV9ZDhS5
93,874012996292530176,34079,10273,Sun Jun 11 21:18:31 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/jonYjPNmYx
94,873580283840344065,23868,3896,Sat Jun 10 16:39:04 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/jbitZ0V20S
95,873337748698140672,0,1566,Sat Jun 10 00:35:19 +0000 2017,Twitter for iPhone,This is a retweet,This is a retweet
96,873213775632977920,7139,1566,Fri Jun 09 16:22:42 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/CWPYZJvjrI
97,872967104147763200,27003,5354,Fri Jun 09 00:02:31 +0000 2017,Twitter for iPhone,Original tweet,https://t.co/8rpIJr9sAC
